"","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases"
"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 1989"," 1988"," 1987"," 1986"," 1985"," 1984"," 1983"," 1982"," 1981"," 1980"
"Afghanistan","3","1","","0","0","0","0","0","0","0","0","104","53","179","26","79","854","","84","297","84","","","","","","","21","368","286","661","1272","1053","3179","555","1940","1563","1464","1939"
"Albania","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","4","4","14","18","48","23","17","5","3","4","4","3","3","1","2","6","3"
"Algeria","0","0","0","0","0","0","0","1","0","0","0","0","3","7","8","7","0","3","","17","57","30","107","","951","264","16","9","30","4","5","35","30","66","108","132","71","114","116"
"Andorra","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","","","","","","","","","","","",""
"Angola","","","","","","20","15","0","","","69","4","","0","0","16","0","0","0","0","0","","","","","23","","40","64","105","38","30","3","9","4","11","32","28","0"
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","3","3","3","4","2","31","20","8","10","14","10","13","22","36","79","86"
"Armenia","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","6","0","3","5","12","11","29","36","1","0","0","7","","","","","","","","","",""
"Australia","11","8","8","2","2","1","0","4","0","0","0","0","","0","0","0","0","1","0","0","0","0","","0","","39","14","8","7","1","61","32","44","17","0","1","2","18","1"
