"","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases"
"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"
"Afghanistan","","","","0","","0","","","0","","","",""
"Albania","","0","0","","","0","0","0","0","","","0",""
"Algeria","","0","0","0","","","0","0","0","0","0","",""
"Andorra","0","0","0","","","","","","","","","",""
"Angola","","","","","","","","0","","","","","0"
"Antigua and Barbuda","0","","","","","","","","","","","","0"
"Armenia","0","","0","","0","0","","0","0","","","",""
"Australia","0","1","0","3","1","4","1","0","0","0","1","",""
"Austria","","","","","","","0","0","0","0","0","",""
"Azerbaijan","0","0","0","0","0","0","0","0","0","","0","0",""
"Bahamas","0","","","","","","","","","","","0","0"
"Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bangladesh","96","19","1294","76","183","23","52","103","15","15","702","204",""
"Barbados","","","","","","","","","","","","","0"
"Belarus","","0","0","","0","0","0","0","0","0","","0",""
"Belgium","","","","0","0","0","0","0","0","0","0","0","0"
"Belize","","","","","","","","","","","","","0"
"Benin","","","","","","","","","","","0","0",""
"Bhutan","1","3","5","5","2","0","27","3","0","0","","",""
"Bosnia and Herzegovina","0","0","0","","","","","0","","","0","0",""
"Botswana","","0","0","0","","","","","","","","0",""
"Brazil","","","","","","","","","","","","0",""
"Brunei Darussalam","0","0","1","1","0","","0","0","","0","0","",""
"Bulgaria","","","0","","","0","0","0","0","0","0","0","0"
"Burkina Faso","","","","0","0","","","","","","","",""
"Burundi","","","","","","","","0","0","0","0","",""
"Cabo Verde","0","","","0","0","0","0","0","0","0","0","",""
"Cambodia","11","5","10","48","60","41","55","45","41","193","372","295",""
"Canada","","","","","","","","","","","","","0"
"Central African Republic","0","","","","","","","","","","","0",""
"Chile","","","","","","","","","","","","","0"
"China","1800","1147","1130","624","858","2178","1763","1625","2541","3913","2975","4330","7647"
"Comoros","","","","0","0","","","","","","0","0","0"
"Congo","","","","","","","0","","0","0","0","0","0"
"Cook Islands","","","","","","","0","","0","","","",""
"Costa Rica","","","","","","","","","","","","0","0"
"Croatia","0","0","0","0","","0","0","0","0","","0","0","0"
"Cyprus","","0","","","","","","","","","","",""
"Czechia","0","1","0","0","0","0","0","0","1","0","1","0","0"
"Democratic People's Republic of Korea","0","0","0","0","0","0","0","0","","10","124","0","0"
"Denmark","0","0","","","","0","","","","","","",""
"Djibouti","","","","","","","","","0","0","0","0",""
"Dominican Republic","","","","","","","","","","","","0",""
"Ecuador","","","","","","","","","","","","0","0"
